Время	Канал A	Канал B
(uс)	(mВ)	(mВ)

-18.11740882	0.70198990	3.53131500
-18.09240882	-0.70198990	3.39091700
-18.06740882	-1.03772400	3.33903100
-18.04240882	-0.28995240	3.38176000
-18.01740882	0.13734590	3.35429100
-17.99240882	0.25943110	3.26272700
-17.96740882	0.35099500	3.25204500
-17.94240883	0.41203760	3.32071800
-17.91740883	0.00000000	3.35276500
-17.89240883	-0.88511780	3.34666100
-17.86740883	-0.97668160	3.34360900
-17.84240883	-0.24417040	3.33903100
-17.81740883	0.07630325	3.36039600
-17.79240884	0.01526065	3.40617800
-17.76740884	-0.01526065	3.41686000
-17.74240884	-0.04578195	3.39549500
-17.71740884	0.15260650	3.36192200
-17.69240884	0.57990470	3.31003500
-17.66740884	0.57990470	3.36192200
-17.64240884	0.18312780	3.51452800
-17.61740885	-0.13734590	3.53741900
-17.59240885	-0.35099500	3.43059400
-17.56740885	-0.22890980	3.33903100
-17.54240885	0.25943110	3.26577900
-17.51740885	0.06104260	3.23678400
-17.49240885	-0.76303260	3.26120100
-17.46740885	-1.29715500	3.30393100
-17.44240886	-1.49554400	3.36802600
-17.41740886	-1.26663400	3.36650000
-17.39240886	-0.65620800	3.29324900
-17.36740886	-0.13734590	3.29324900
-17.34240886	0.19838850	3.36192200
-17.31740886	0.28995240	3.38328600
-17.29240886	0.07630325	3.36192200
-17.26740887	0.00000000	3.31766600
-17.24240887	0.10682460	3.24899300
-17.21740887	-0.33573430	3.26883200
-17.19240887	-1.29715500	3.37565600
-17.16740887	-1.20559100	3.44738100
-17.14240887	-0.09156390	3.48248100
-17.11740888	0.44255890	3.47179800
-17.09240888	0.35099500	3.41686000
-17.06740888	0.24417040	3.33597900
-17.04240888	0.06104260	3.23220600
-17.01740888	-0.01526065	3.23831000
-16.99240888	0.00000000	3.36344700
-16.96740888	0.00000000	3.33140000
-16.94240889	-0.01526065	3.14216800
-16.91740889	0.07630325	3.16048100
-16.89240889	0.28995240	3.38633800
-16.86740889	0.18312780	3.43517300
-16.84240889	-0.22890980	3.30393100
-16.81740889	-0.41203760	3.31308700
-16.79240889	-0.38151630	3.46264200
-16.76740890	-0.35099500	3.43517300
-16.74240890	-0.30521300	3.23373200
-16.71740890	-0.53412280	3.17116300
-16.69240890	-1.02246400	3.24441500
-16.66740890	-0.93089970	3.30850900
-16.64240890	-0.24417040	3.36497400
-16.61740890	0.07630325	3.38176000
-16.59240891	0.00000000	3.35581700
-16.56740891	0.07630325	3.33445200
-16.54240891	0.28995240	3.31003500
-16.51740891	0.18312780	3.34208300
-16.49240891	-0.27469170	3.42754200
-16.46740891	-0.27469170	3.43822500
-16.44240892	0.15260650	3.37565600
-16.41740892	0.33573430	3.31461400
-16.39240892	0.22890980	3.25814900
-16.36740892	0.54938340	3.24136200
-16.34240892	1.23611300	3.27188400
-16.31740892	1.31241600	3.27646200
-16.29240892	0.76303260	3.26730500
-16.26740893	0.83933580	3.18489800
-16.24240893	1.52606500	3.02923900
-16.21740893	1.83127800	3.04755200
-16.19240893	1.70919300	3.23373200
-16.16740893	2.01440600	3.37565600
-16.14240893	2.70113500	3.47027200
-16.11740893	2.80796000	3.45195900
-16.09240894	2.33488000	3.30545700
-16.06740894	1.98388500	3.31919200
-16.04240894	1.75497500	3.49621500
-16.01740894	1.98388500	3.45806400
-15.99240894	2.68587400	3.20778900
-15.96740894	2.80796000	3.14674600
-15.94240894	2.33488000	3.27493600
-15.91740895	1.99914500	3.31766600
-15.89240895	1.81601700	3.27493600
-15.86740895	1.81601700	3.31614000
-15.84240895	2.06018800	3.43517300
-15.81740895	2.18227300	3.39549500
-15.79240895	2.22805500	3.19710700
-15.76740896	1.90758100	3.13301200
-15.74240896	1.23611300	3.20015900
-15.71740896	1.05298500	3.29324900
-15.69240896	1.38871900	3.41533400
-15.66740896	1.19033100	3.44280300
-15.64240896	0.51886210	3.36955200
-15.61740896	0.32047370	3.33750500
-15.59240897	0.65620800	3.34360900
-15.56740897	0.48834080	3.34513500
-15.54240897	-0.13734590	3.34208300
-15.51740897	-0.44255890	3.35123900
-15.49240897	-0.35099500	3.36344700
-15.46740897	-0.42729820	3.41686000
-15.44240897	-0.59516540	3.50842400
-15.41740898	-0.91563900	3.48705900
-15.39240898	-1.31241600	3.35276500
-15.36740898	-1.51080400	3.32529600
-15.34240898	-1.44976200	3.41380800
-15.31740898	-1.54132600	3.36497400
-15.29240898	-1.72445400	3.18795000
-15.26740899	-1.92284200	3.14522000
-15.24240899	-2.10597000	3.23983600
-15.21740899	-2.30435800	3.30393100
-15.19240899	-2.48748600	3.33750500
-15.16740899	-2.57905000	3.33903100
-15.14240899	-2.54852900	3.30545700
-15.11740899	-2.64009300	3.23525800
-15.09240900	-2.85374200	3.12843400
-15.06740900	-2.94530600	3.12996000
-15.04240900	-2.91478400	3.23983600
-15.01740900	-3.00634800	3.29019600
-14.99240900	-3.25051900	3.27493600
-14.96740900	-3.25051900	3.29172300
-14.94240900	-3.03687000	3.33140000
-14.91740901	-2.82322000	3.35123900
-14.89240901	-2.64009300	3.34818700
-14.86740901	-2.53326800	3.33750500
-14.84240901	-2.56378900	3.31614000
-14.81740901	-2.57905000	3.32834800
-14.79240901	-2.62483200	3.38023400
-14.76740901	-2.41118300	3.34971300
-14.74240902	-2.01440600	3.24288800
-14.71740902	-1.72445400	3.21236700
-14.69240902	-1.61762900	3.25814900
-14.66740902	-1.22085200	3.29019600
-14.64240902	-0.64094730	3.30850900
-14.61740902	-0.13734590	3.32071800
-14.59240903	0.22890980	3.32987400
-14.56740903	0.19838850	3.27035800
-14.54240903	-0.25943110	3.14827300
-14.51740903	-0.28995240	3.09486000
-14.49240903	0.10682460	3.11012100
-14.46740903	0.50360150	3.19100200
-14.44240903	0.90037840	3.33445200
-14.41740904	1.06824600	3.39244300
-14.39240904	0.96142100	3.35886900
-14.36740904	1.26663400	3.33750500
-14.34240904	1.87706000	3.32834800
-14.31740904	2.30435800	3.28867100
-14.29240904	2.50274700	3.22457600
-14.26740904	2.36540100	3.22610200
-14.24240905	1.87706000	3.29477500
-14.21740905	1.87706000	3.31308700
-14.19240905	2.39592200	3.27951400
-14.16740905	2.41118300	3.29477500
-14.14240905	1.95336300	3.34971300
-14.11740905	1.64815000	3.42449000
-14.09240905	1.49554400	3.52215800
-14.06740906	1.29715500	3.45043300
-14.04240906	1.08350600	3.20626300
-14.01740906	1.09876700	3.14827300
-13.99240906	1.40398000	3.27951400
-13.96740906	1.20559100	3.30698300
-13.94240906	0.56464410	3.23831000
-13.91740907	0.15260650	3.19558000
-13.89240907	0.03052130	3.17726800
-13.86740907	0.04578195	3.18032000
-13.84240907	0.28995240	3.20473700
-13.81740907	0.21364910	3.20321100
-13.79240907	-0.10682460	3.16963700
-13.76740907	-0.73251120	3.20778900
-13.74240908	-1.58710800	3.31461400
-13.71740908	-1.77023600	3.34360900
-13.69240908	-1.22085200	3.29782700
-13.66740908	-1.17507000	3.26577900
-13.64240908	-1.55658600	3.25357100
-13.61740908	-2.21279400	3.22457600
-13.59240908	-3.08265100	3.18489800
-13.56740909	-3.17421500	3.17574200
-13.54240909	-2.42644400	3.19405400
-13.51740909	-2.18227300	3.23678400
-13.49240909	-2.41118300	3.30087900
-13.46740909	-2.74691700	3.30240500
-13.44240909	-3.20473700	3.24441500
-13.41740909	-3.20473700	3.17268900
-13.39240910	-2.73165700	3.09333400
-13.36740910	-2.50274700	3.07196900
-13.34240910	-2.54852900	3.11164700
-13.31740910	-2.54852900	3.17268900
-13.29240910	-2.48748600	3.25509700
-13.26740910	-2.80796000	3.27493600
-13.24240911	-3.50995000	3.22915400
-13.21740911	-3.50995000	3.19863200
-13.19240911	-2.76217800	3.18337200
-13.16740911	-2.64009300	3.16048100
-13.14240911	-3.17421500	3.12690700
-13.11740911	-3.17421500	3.18795000
-13.09240911	-2.64009300	3.34055700
-13.06740912	-2.76217800	3.37107800
-13.04240912	-3.52521000	3.27646200
-13.01740912	-3.43364600	3.22457600
-12.99240912	-2.48748600	3.21847100
-12.96740912	-2.16701200	3.20015900
-12.94240912	-2.47222500	3.17421600
-12.91740912	-2.59431100	3.19405400
-12.89240913	-2.59431100	3.25814900
-12.86740913	-2.48748600	3.27646200
-12.84240913	-2.27383700	3.24288800
-12.81740913	-2.16701200	3.25967500
-12.79240913	-2.19753400	3.32071800
-12.76740913	-2.21279400	3.36344700
-12.74240913	-2.25857600	3.39091700
-12.71740914	-2.04492700	3.34055700
-12.69240914	-1.58710800	3.21236700
-12.66740914	-1.48028300	3.17421600
-12.64240914	-1.73971400	3.22915400
-12.61740914	-1.87706000	3.22762800
-12.59240914	-1.92284200	3.16963700
-12.56740915	-1.60236800	3.23068000
-12.54240915	-0.93089970	3.40770300
-12.51740915	-0.71725060	3.41838600
-12.49240915	-0.93089970	3.26272700
-12.46740915	-1.35819800	3.20168500
-12.44240915	-1.99914500	3.23983600
-12.41740915	-2.18227300	3.22152400
-12.39240916	-1.84653900	3.15895500
-12.36740916	-2.04492700	3.12843400
-12.34240916	-2.71639600	3.12996000
-12.31740916	-2.93004500	3.15437700
-12.29240916	-2.65535300	3.20168500
-12.26740916	-2.54852900	3.20168500
-12.24240916	-2.57905000	3.15437700
-12.21740917	-2.48748600	3.12843400
-12.19240917	-2.30435800	3.12080300
-12.16740917	-2.09070900	3.18032000
-12.14240917	-1.84653900	3.30240500
-12.11740917	-1.93810300	3.36192200
-12.09240917	-2.31961900	3.35886900
-12.06740918	-2.86900200	3.31766600
-12.04240918	-3.55573200	3.23831000
-12.01740918	-3.43364600	3.20015900
-11.99240918	-2.51800700	3.20626300
-11.96740918	-2.09070900	3.21694500
-11.94240918	-2.15175200	3.23525800
-11.91740918	-2.28909800	3.24441500
-11.89240919	-2.56378900	3.24746700
-11.86740919	-2.36540100	3.22610200
-11.84240919	-1.72445400	3.18489800
-11.81740919	-1.31241600	3.17421600
-11.79240919	-1.19033100	3.18947600
-11.76740919	-1.00720300	3.25204500
-11.74240919	-0.82407520	3.35886900
-11.71740920	-0.64094730	3.36039600
-11.69240920	-0.45781950	3.25509700
-11.66740920	-0.28995240	3.18184600
-11.64240920	-0.16786720	3.14522000
-11.61740920	0.33573430	3.14522000
-11.59240920	1.17507000	3.18642400
-11.56740920	1.35819800	3.23831000
-11.54240921	0.83933580	3.29935300
-11.51740921	0.62568670	3.30698300
-11.49240921	0.71725060	3.25814900
-11.46740921	0.51886210	3.23831000
-11.44240921	0.06104260	3.25051900
-11.41740921	0.16786720	3.21236700
-11.39240922	0.83933580	3.12996000
-11.36740922	1.03772400	3.11164700
-11.34240922	0.79355380	3.16048100
-11.31740922	0.57990470	3.17116300
-11.29240922	0.39677690	3.14369400
-11.26740922	0.21364910	3.14216800
-11.24240922	0.03052130	3.16353300
-11.21740923	0.06104260	3.18337200
-11.19240923	0.33573430	3.19863200
-11.16740923	0.01526065	3.22762800
-11.14240923	-0.88511780	3.26120100
-11.11740923	-0.94616040	3.29324900
-11.09240923	-0.13734590	3.32071800
-11.06740923	-0.22890980	3.27798800
-11.04240924	-1.14454900	3.15895500
-11.01740924	-1.57184700	3.16963700
-10.99240924	-1.48028300	3.30850900
-10.96740924	-1.46502200	3.33140000
-10.94240924	-1.46502200	3.23678400
-10.91740924	-1.46502200	3.21541900
-10.89240924	-1.43450100	3.26425300
-10.86740925	-1.55658600	3.27798800
-10.84240925	-1.83127800	3.25967500
-10.81740925	-1.60236800	3.20931500
-10.79240925	-0.85459640	3.12690700
-10.76740925	-0.97668160	3.11775100
-10.74240925	-1.95336300	3.18032000
-10.71740926	-2.06018800	3.23831000
-10.69240926	-1.29715500	3.28714400
-10.66740926	-1.17507000	3.34818700
-10.64240926	-1.69393200	3.42143800
-10.61740926	-1.80075700	3.36039600
-10.59240926	-1.49554400	3.17116300
-10.56740926	-1.58710800	3.09028200
-10.54240927	-2.04492700	3.12843400
-10.51740927	-2.24331600	3.12996000
-10.49240927	-2.18227300	3.09638600
-10.46740927	-2.25857600	3.15590300
-10.44240927	-2.42644400	3.29935300
-10.41740927	-2.74691700	3.35429100
-10.39240927	-3.20473700	3.32071800
-10.36740928	-3.17421500	3.19558000
-10.34240928	-2.64009300	2.97887900
-10.31740928	-2.73165700	2.96819700
-10.29240928	-3.40312500	3.16811100
-10.26740928	-3.81516300	3.27341000
-10.24240928	-3.92198700	3.27951400
-10.21740928	-4.19667900	3.26577900
-10.19240929	-4.56293400	3.21999800
-10.16740929	-4.95971200	3.21999800
-10.14240929	-5.31070700	3.26272700
-10.11740929	-5.46331300	3.28256600
-10.09240929	-5.35648800	3.27646200
-10.06740929	-5.66170100	3.28867100
-10.04240930	-6.30264900	3.32071800
-10.01740930	-6.62312200	3.28104000
-9.99240930	-6.60786200	3.17726800
-9.96740930	-6.37895200	3.11927700
-9.94240930	-5.95165400	3.11317300
-9.91740930	-5.75326500	3.09638600
-9.89240930	-5.81430800	3.07196900
-9.86740931	-5.72274400	3.07960000
-9.84240931	-5.52435500	3.11469900
-9.81740931	-5.32596700	3.16353300
-9.79240931	-5.14283900	3.21541900
-9.76740931	-5.26492500	3.26577900
-9.74240931	-5.73800500	3.30698300
-9.71740931	-5.63118000	3.30240500
-9.69240932	-5.02075400	3.24441500
-9.66740932	-4.62397700	3.27646200
-9.64240932	-4.53241300	3.40159900
-9.61740932	-4.13563600	3.37260400
-9.59240932	-3.52521000	3.19252800
-9.56740932	-3.21999700	3.12996000
-9.54240932	-3.28104000	3.17879400
-9.51740933	-3.29630100	3.25204500
-9.49240933	-3.32682200	3.34971300
-9.46740933	-3.25051900	3.38939100
-9.44240933	-3.14369400	3.36802600
-9.41740933	-2.51800700	3.30545700
-9.39240933	-1.41924000	3.19863200
-9.36740934	-1.12928800	3.19405400
-9.34240934	-1.70919300	3.29630100
-9.31740934	-1.73971400	3.28714400
-9.29240934	-1.31241600	3.17421600
-9.26740934	-0.90037840	3.12843400
-9.24240934	-0.53412280	3.14522000
-9.21740934	-0.22890980	3.22915400
-9.19240935	-0.06104260	3.37870800
-9.16740935	0.00000000	3.40923000
-9.14240935	-0.12208520	3.32071800
